Type de résidence principale,2010,2015,2021,code_insee,Ville
Ensemble des résidences principales,"3,8","3,7","3,6",76498,le-petit-quevilly
Maison,"4,4","4,4","4,3",76498,le-petit-quevilly
Appartement,"3,3","3,2","3,1",76498,le-petit-quevilly
Ensemble des résidences principales,"3,0","3,0","2,9",76540,rouen
Maison,"4,8","4,8","4,9",76540,rouen
Appartement,"2,6","2,6","2,6",76540,rouen
Ensemble des résidences principales,"4,0","3,9","3,8",76575,saint-etienne-du-rouvray
Maison,"4,5","4,5","4,5",76575,saint-etienne-du-rouvray
Appartement,"3,2","3,1","3,0",76575,saint-etienne-du-rouvray
Ensemble des résidences principales,"3,7","3,8","3,8",76681,sotteville-les-rouen
Maison,"4,3","4,4","4,5",76681,sotteville-les-rouen
Appartement,"3,1","3,1","3,1",76681,sotteville-les-rouen
Ensemble des résidences principales,"3,7","3,6","3,4",77058,bussy-saint-georges
Maison,"5,5","5,5","5,5",77058,bussy-saint-georges
Appartement,"2,7","2,7","2,6",77058,bussy-saint-georges
Ensemble des résidences principales,"3,6","3,5","3,4",77083,champs-sur-marne
Maison,"4,7","4,8","4,7",77083,champs-sur-marne
Appartement,"3,1","3,0","3,0",77083,champs-sur-marne
Ensemble des résidences principales,"3,7","3,7","3,6",77108,chelles
Maison,"4,7","4,6","4,7",77108,chelles
Appartement,"3,0","2,9","2,9",77108,chelles
Ensemble des résidences principales,"4,0","4,0","3,9",77122,combs-la-ville
Maison,"4,9","4,9","4,9",77122,combs-la-ville
Appartement,"2,9","2,8","2,8",77122,combs-la-ville
Ensemble des résidences principales,"3,6","3,6","3,5",77152,dammarie-les-lys
Maison,"4,8","4,7","4,6",77152,dammarie-les-lys
Appartement,"2,9","3,0","2,9",77152,dammarie-les-lys
Ensemble des résidences principales,"3,6","3,6","3,6",77243,lagny-sur-marne
Maison,"4,8","4,9","5,0",77243,lagny-sur-marne
Appartement,"2,8","2,9","2,8",77243,lagny-sur-marne
Ensemble des résidences principales,"3,4","3,4","3,3",77284,meaux
Maison,"4,8","4,9","4,9",77284,meaux
Appartement,"3,0","3,0","2,9",77284,meaux
Ensemble des résidences principales,"3,8","3,7","3,8",77285,le-mee-sur-seine
Maison,"5,0","4,9","5,0",77285,le-mee-sur-seine
Appartement,"3,3","3,2","3,4",77285,le-mee-sur-seine
Ensemble des résidences principales,"3,1","3,1","3,1",77288,melun
Maison,"4,9","4,8","4,8",77288,melun
Appartement,"2,8","2,9","2,9",77288,melun
Ensemble des résidences principales,"3,9","3,9","4,0",77294,mitry-mory
Maison,"4,4","4,5","4,6",77294,mitry-mory
Appartement,"2,8","2,9","2,8",77294,mitry-mory
Ensemble des résidences principales,"3,3","3,4","3,4",77305,montereau-fault-yonne
Maison,"4,5","4,5","4,5",77305,montereau-fault-yonne
Appartement,"3,0","3,0","3,0",77305,montereau-fault-yonne
Ensemble des résidences principales,"4,4","4,3","4,2",77350,ozoir-la-ferriere
Maison,"5,1","5,1","5,1",77350,ozoir-la-ferriere
Appartement,"2,9","2,7","2,7",77350,ozoir-la-ferriere
Ensemble des résidences principales,"3,9","3,8","3,8",77373,pontault-combault
Maison,"4,8","4,8","4,8",77373,pontault-combault
Appartement,"2,6","2,7","2,7",77373,pontault-combault
Ensemble des résidences principales,"4,0","4,0","4,0",77390,roissy-en-brie
Maison,"4,8","4,8","4,9",77390,roissy-en-brie
Appartement,"3,0","3,0","3,0",77390,roissy-en-brie
Ensemble des résidences principales,"4,1","4,0","3,9",77445,savigny-le-temple
Maison,"4,9","4,9","4,9",77445,savigny-le-temple
Appartement,"3,1","3,0","3,0",77445,savigny-le-temple
Ensemble des résidences principales,"3,5","3,4","3,3",77468,torcy
Maison,"4,8","4,8","4,9",77468,torcy
Appartement,"3,1","3,1","3,0",77468,torcy
Ensemble des résidences principales,"3,6","3,5","3,5",77514,villeparisis
Maison,"4,6","4,5","4,6",77514,villeparisis
Appartement,"2,7","2,6","2,7",77514,villeparisis
Ensemble des résidences principales,"3,7","3,6","3,5",78005,acheres
Maison,"4,7","4,7","4,7",78005,acheres
Appartement,"3,1","3,1","3,0",78005,acheres
Ensemble des résidences principales,"4,1","4,1","4,1",78126,la-celle-saint-cloud
Maison,"5,8","5,9","6,0",78126,la-celle-saint-cloud
Appartement,"3,5","3,5","3,4",78126,la-celle-saint-cloud
Ensemble des résidences principales,"3,7","3,8","3,7",78146,chatou
Maison,"5,2","5,4","5,5",78146,chatou
Appartement,"3,1","3,1","3,0",78146,chatou
Ensemble des résidences principales,"3,5","3,5","3,5",78158,le-chesnay-rocquencourt
Maison,"5,8","5,8","5,9",78158,le-chesnay-rocquencourt
Appartement,"3,1","3,1","3,1",78158,le-chesnay-rocquencourt
Ensemble des résidences principales,"3,9","3,8","3,8",78172,conflans-sainte-honorine
Maison,"4,6","4,6","4,7",78172,conflans-sainte-honorine
Appartement,"3,0","3,0","2,9",78172,conflans-sainte-honorine
Ensemble des résidences principales,"3,7","3,7","3,7",78208,elancourt
Maison,"5,1","5,0","5,0",78208,elancourt
Appartement,"3,1","3,0","3,0",78208,elancourt
Ensemble des résidences principales,"3,6","3,6","3,5",78297,guyancourt
Maison,"5,0","5,0","5,1",78297,guyancourt
Appartement,"3,1","3,1","3,0",78297,guyancourt
Ensemble des résidences principales,"3,7","3,7","3,7",78311,houilles
Maison,"4,5","4,7","4,8",78311,houilles
Appartement,"2,9","2,9","2,8",78311,houilles
Ensemble des résidences principales,"3,8","3,7","3,7",78358,maisons-laffitte
Maison,"5,5","5,5","5,8",78358,maisons-laffitte
Appartement,"3,1","3,0","3,0",78358,maisons-laffitte
Ensemble des résidences principales,"3,3","3,3","3,2",78361,mantes-la-jolie
Maison,"4,6","4,6","4,6",78361,mantes-la-jolie
Appartement,"3,0","3,0","3,0",78361,mantes-la-jolie
Ensemble des résidences principales,"3,9","3,8","3,8",78362,mantes-la-ville
Maison,"4,7","4,6","4,8",78362,mantes-la-ville
Appartement,"3,2","3,2","3,1",78362,mantes-la-ville
Ensemble des résidences principales,"3,7","3,8","3,6",78423,montigny-le-bretonneux
Maison,"5,2","5,3","5,3",78423,montigny-le-bretonneux
Appartement,"3,0","3,1","2,9",78423,montigny-le-bretonneux
Ensemble des résidences principales,"3,7","3,7","3,6",78440,les-mureaux
Maison,"4,6","4,6","4,6",78440,les-mureaux
Appartement,"3,3","3,2","3,2",78440,les-mureaux
Ensemble des résidences principales,"3,8","3,8","3,8",78490,plaisir
Maison,"5,1","5,3","5,2",78490,plaisir
Appartement,"3,0","2,9","3,0",78490,plaisir
Ensemble des résidences principales,"3,4","3,4","3,3",78498,poissy
Maison,"5,0","5,0","5,1",78498,poissy
Appartement,"3,0","3,0","3,0",78498,poissy
Ensemble des résidences principales,"3,7","3,7","3,6",78517,rambouillet
Maison,"5,3","5,3","5,3",78517,rambouillet
Appartement,"2,8","2,8","2,7",78517,rambouillet
Ensemble des résidences principales,"3,5","3,4","3,4",78545,saint-cyr-l-ecole
Maison,"5,0","5,0","5,2",78545,saint-cyr-l-ecole
Appartement,"3,2","2,9","3,0",78545,saint-cyr-l-ecole
Ensemble des résidences principales,"3,7","3,7","3,6",78551,saint-germain-en-laye
Maison,"5,9","5,9","6,0",78551,saint-germain-en-laye
Appartement,"3,1","3,1","3,1",78551,saint-germain-en-laye
Ensemble des résidences principales,"3,6","3,6","3,6",78586,sartrouville
Maison,"4,5","4,5","4,6",78586,sartrouville
Appartement,"3,0","3,1","3,0",78586,sartrouville
Ensemble des résidences principales,"3,5","3,4","3,3",78621,trappes
Maison,"4,5","4,4","4,5",78621,trappes
Appartement,"3,3","3,2","3,1",78621,trappes
Ensemble des résidences principales,"3,6","3,4","3,3",78640,velizy-villacoublay
Maison,"4,8","5,2","5,0",78640,velizy-villacoublay
Appartement,"3,4","3,1","3,1",78640,velizy-villacoublay
Ensemble des résidences principales,"3,6","3,5","3,5",78646,versailles
Maison,"6,0","5,8","6,1",78646,versailles
Appartement,"3,3","3,3","3,2",78646,versailles
Ensemble des résidences principales,"3,8","3,9","3,9",79191,niort
Maison,"4,6","4,7","4,7",79191,niort
Appartement,"2,6","2,6","2,6",79191,niort
Ensemble des résidences principales,"4,0","3,9","3,8",80001,abbeville
Maison,"4,6","4,6","4,6",80001,abbeville
Appartement,"3,1","3,0","3,0",80001,abbeville
Ensemble des résidences principales,"3,5","3,4","3,3",80021,amiens
Maison,"4,6","4,6","4,6",80021,amiens
Appartement,"2,7","2,7","2,6",80021,amiens
Ensemble des résidences principales,"3,7","3,7","3,7",81004,albi
Maison,"4,8","4,8","4,8",81004,albi
Appartement,"2,5","2,5","2,5",81004,albi
Ensemble des résidences principales,"4,2","4,2","4,1",81065,castres
Maison,"4,9","5,0","4,9",81065,castres
Appartement,"2,9","2,8","2,8",81065,castres
Ensemble des résidences principales,"4,0","3,9","4,0",82121,montauban
Maison,"4,8","4,7","4,8",82121,montauban
Appartement,"2,9","2,8","2,8",82121,montauban
Ensemble des résidences principales,"3,6","3,6","3,6",83050,draguignan
Maison,"4,5","4,5","4,5",83050,draguignan
Appartement,"3,0","3,0","3,0",83050,draguignan
Ensemble des résidences principales,"3,3","3,3","3,2",83061,frejus
Maison,"4,3","4,3","4,4",83061,frejus
Appartement,"2,7","2,8","2,8",83061,frejus
Ensemble des résidences principales,"3,5","3,5","3,5",83062,la-garde
Maison,"4,5","4,6","4,6",83062,la-garde
Appartement,"3,0","2,9","3,0",83062,la-garde
Ensemble des résidences principales,"3,4","3,3","3,3",83069,hyeres
Maison,"4,4","4,3","4,4",83069,hyeres
Appartement,"2,9","2,9","2,9",83069,hyeres
Ensemble des résidences principales,"3,5","3,4","3,5",83118,saint-raphael
Maison,"4,5","4,3","4,7",83118,saint-raphael
Appartement,"2,9","2,7","2,8",83118,saint-raphael
Ensemble des résidences principales,"3,5","3,4","3,4",83126,la-seyne-sur-mer
Maison,"4,2","4,3","4,3",83126,la-seyne-sur-mer
Appartement,"3,1","3,0","3,0",83126,la-seyne-sur-mer
Ensemble des résidences principales,"3,6","3,6","3,6",83129,six-fours-les-plages
Maison,"4,3","4,4","4,5",83129,six-fours-les-plages
Appartement,"2,8","2,7","2,7",83129,six-fours-les-plages
Ensemble des résidences principales,"3,3","3,3","3,3",83137,toulon
Maison,"4,4","4,3","4,4",83137,toulon
Appartement,"3,0","3,0","3,0",83137,toulon
Ensemble des résidences principales,"3,6","3,6","3,5",83144,la-valette-du-var
Maison,"4,3","4,5","4,6",83144,la-valette-du-var
Appartement,"3,2","3,1","3,1",83144,la-valette-du-var
Ensemble des résidences principales,"3,4","3,4","3,4",84007,avignon
Maison,"4,5","4,5","4,5",84007,avignon
Appartement,"3,0","3,0","2,9",84007,avignon
Ensemble des résidences principales,"3,8","3,8","3,8",84031,carpentras
Maison,"4,5","4,5","4,6",84031,carpentras
Appartement,"3,0","2,9","3,0",84031,carpentras
Ensemble des résidences principales,"3,8","3,6","3,7",84035,cavaillon
Maison,"4,5","4,4","4,5",84035,cavaillon
Appartement,"3,1","3,0","3,1",84035,cavaillon
Ensemble des résidences principales,"3,9","3,9","3,9",84087,orange
Maison,"4,6","4,7","4,7",84087,orange
Appartement,"3,1","3,2","3,2",84087,orange
Ensemble des résidences principales,"3,8","3,8","3,8",84089,pertuis
Maison,"4,5","4,6","4,6",84089,pertuis
Appartement,"2,8","2,7","2,7",84089,pertuis
Ensemble des résidences principales,"4,1","4,2","4,1",85047,challans
Maison,"4,5","4,5","4,5",85047,challans
Appartement,"2,6","2,8","2,6",85047,challans
Ensemble des résidences principales,"4,6","4,5","4,5",85146,montaigu-vendee
Maison,"4,9","4,8","4,8",85146,montaigu-vendee
Appartement,"2,6","2,5","2,5",85146,montaigu-vendee
Ensemble des résidences principales,"3,8","3,8","3,7",85191,la-roche-sur-yon
Maison,"4,8","4,7","4,8",85191,la-roche-sur-yon
Appartement,"2,7","2,7","2,6",85191,la-roche-sur-yon
Ensemble des résidences principales,"3,9","3,9","3,9",85194,les-sables-d-olonne
Maison,"4,3","4,4","4,4",85194,les-sables-d-olonne
Appartement,"2,7","2,6","2,6",85194,les-sables-d-olonne
Ensemble des résidences principales,"3,9","4,0","4,0",86066,chatellerault
Maison,"4,5","4,6","4,6",86066,chatellerault
Appartement,"2,9","2,9","2,9",86066,chatellerault
Ensemble des résidences principales,"3,1","3,1","3,1",86194,poitiers
Maison,"4,8","4,7","4,7",86194,poitiers
Appartement,"2,4","2,4","2,4",86194,poitiers
Ensemble des résidences principales,"3,3","3,3","3,3",87085,limoges
Maison,"4,7","4,7","4,8",87085,limoges
Appartement,"2,8","2,8","2,8",87085,limoges
Ensemble des résidences principales,"3,6","3,7","3,7",88160,epinal
Maison,"4,9","5,0","5,0",88160,epinal
Appartement,"3,0","3,0","3,1",88160,epinal
Ensemble des résidences principales,"3,5","3,5","3,5",89024,auxerre
Maison,"4,6","4,6","4,6",89024,auxerre
Appartement,"2,9","2,9","2,9",89024,auxerre
Ensemble des résidences principales,"3,5","3,4","3,5",89387,sens
Maison,"4,5","4,6","4,6",89387,sens
Appartement,"2,8","2,9","2,9",89387,sens
Ensemble des résidences principales,"3,4","3,4","3,4",90010,belfort
Maison,"4,9","4,9","5,0",90010,belfort
Appartement,"3,1","3,2","3,2",90010,belfort
Ensemble des résidences principales,"3,6","3,5","3,4",91027,athis-mons
Maison,"4,5","4,4","4,4",91027,athis-mons
Appartement,"3,1","3,0","3,0",91027,athis-mons
Ensemble des résidences principales,"3,7","3,7","3,6",91103,bretigny-sur-orge
Maison,"4,7","4,9","5,0",91103,bretigny-sur-orge
Appartement,"3,0","2,9","2,9",91103,bretigny-sur-orge
Ensemble des résidences principales,"4,0","4,0","4,0",91114,brunoy
Maison,"4,9","4,9","4,9",91114,brunoy
Appartement,"3,2","3,2","3,1",91114,brunoy
Ensemble des résidences principales,"3,2","3,2","3,1",91174,corbeil-essonnes
Maison,"4,5","4,6","4,6",91174,corbeil-essonnes
Appartement,"2,7","2,8","2,7",91174,corbeil-essonnes
Ensemble des résidences principales,"4,0","4,0","4,0",91201,draveil
Maison,"4,7","4,9","4,8",91201,draveil
Appartement,"3,2","3,2","3,2",91201,draveil
Ensemble des résidences principales,"3,4","3,4","3,4",91223,etampes
Maison,"4,6","4,5","4,6",91223,etampes
Appartement,"2,8","2,8","2,7",91223,etampes
Ensemble des résidences principales,"3,4","3,3","3,2",91228,evry-courcouronnes
Maison,"4,9","4,9","4,9",91228,evry-courcouronnes
Appartement,"3,1","3,1","3,0",91228,evry-courcouronnes
Ensemble des résidences principales,"4,6","4,5","4,1",91272,gif-sur-yvette
Maison,"5,8","5,8","5,9",91272,gif-sur-yvette
Appartement,"3,0","2,9","2,7",91272,gif-sur-yvette
Ensemble des résidences principales,"3,6","3,5","3,4",91286,grigny
Maison,"4,8","4,7","4,5",91286,grigny
Appartement,"3,4","3,4","3,3",91286,grigny
Ensemble des résidences principales,"3,5","3,6","3,6",91345,longjumeau
Maison,"4,8","4,9","5,0",91345,longjumeau
Appartement,"3,0","3,1","3,0",91345,longjumeau
Ensemble des résidences principales,"3,4","3,3","3,2",91377,massy
Maison,"4,8","4,7","5,0",91377,massy
Appartement,"3,2","3,2","3,1",91377,massy
Ensemble des résidences principales,"4,0","3,9","4,0",91421,montgeron
Maison,"4,8","4,7","4,9",91421,montgeron
Appartement,"3,0","3,0","3,0",91421,montgeron
Ensemble des résidences principales,"4,0","4,0","4,0",91434,morsang-sur-orge
Maison,"4,6","4,7","4,7",91434,morsang-sur-orge
Appartement,"3,2","3,2","3,2",91434,morsang-sur-orge
Ensemble des résidences principales,"3,8","3,7","3,5",91477,palaiseau
Maison,"5,0","5,1","5,0",91477,palaiseau
Appartement,"3,1","3,0","2,8",91477,palaiseau
Ensemble des résidences principales,"3,8","3,7","3,6",91521,ris-orangis
Maison,"4,8","4,8","4,8",91521,ris-orangis
Appartement,"3,3","3,2","3,2",91521,ris-orangis
Ensemble des résidences principales,"3,9","3,9","3,9",91549,sainte-genevieve-des-bois
Maison,"4,7","4,7","4,8",91549,sainte-genevieve-des-bois
Appartement,"3,1","3,1","3,1",91549,sainte-genevieve-des-bois
Ensemble des résidences principales,"3,7","3,7","3,8",91570,saint-michel-sur-orge
Maison,"4,9","4,9","4,9",91570,saint-michel-sur-orge
Appartement,"3,2","3,2","3,2",91570,saint-michel-sur-orge
Ensemble des résidences principales,"3,8","3,8","3,8",91589,savigny-sur-orge
Maison,"4,6","4,7","4,8",91589,savigny-sur-orge
Appartement,"2,8","2,7","2,7",91589,savigny-sur-orge
Ensemble des résidences principales,"3,7","3,6","3,6",91657,vigneux-sur-seine
Maison,"4,4","4,4","4,4",91657,vigneux-sur-seine
Appartement,"3,2","3,0","3,0",91657,vigneux-sur-seine
Ensemble des résidences principales,"3,6","3,6","3,6",91687,viry-chatillon
Maison,"4,5","4,5","4,6",91687,viry-chatillon
Appartement,"3,1","3,1","3,1",91687,viry-chatillon
Ensemble des résidences principales,"3,9","4,0","4,0",91691,yerres
Maison,"4,8","4,9","4,9",91691,yerres
Appartement,"3,1","3,1","3,2",91691,yerres
Ensemble des résidences principales,"3,5","3,5","3,4",91692,les-ulis
Maison,"4,9","4,9","4,9",91692,les-ulis
Appartement,"3,4","3,4","3,4",91692,les-ulis
Ensemble des résidences principales,"3,7","3,7","3,7",92002,antony
Maison,"5,0","5,1","5,3",92002,antony
Appartement,"3,1","3,0","3,0",92002,antony
Ensemble des résidences principales,"3,0","2,9","3,0",92004,asnieres-sur-seine
Maison,"5,3","5,2","5,4",92004,asnieres-sur-seine
Appartement,"2,8","2,7","2,8",92004,asnieres-sur-seine
Ensemble des résidences principales,"3,2","3,2","3,1",92007,bagneux
Maison,"4,4","4,4","4,4",92007,bagneux
Appartement,"3,1","3,0","3,0",92007,bagneux
Ensemble des résidences principales,"3,2","3,2","3,2",92009,bois-colombes
Maison,"5,1","5,2","5,4",92009,bois-colombes
Appartement,"2,7","2,7","2,6",92009,bois-colombes
Ensemble des résidences principales,"2,8","2,8","2,8",92012,boulogne-billancourt
Maison,"5,4","5,5","5,6",92012,boulogne-billancourt
Appartement,"2,7","2,7","2,8",92012,boulogne-billancourt
Ensemble des résidences principales,"3,4","3,5","3,5",92014,bourg-la-reine
Maison,"5,3","5,5","5,7",92014,bourg-la-reine
Appartement,"2,9","3,0","3,0",92014,bourg-la-reine
Ensemble des résidences principales,"3,3","3,3","3,3",92019,chatenay-malabry
Maison,"5,4","5,1","5,2",92019,chatenay-malabry
Appartement,"3,1","3,0","3,0",92019,chatenay-malabry
Ensemble des résidences principales,"3,1","3,1","3,1",92020,chatillon
Maison,"4,5","4,8","4,8",92020,chatillon
Appartement,"2,9","2,8","2,8",92020,chatillon
Ensemble des résidences principales,"3,5","3,5","3,4",92023,clamart
Maison,"4,7","4,8","4,9",92023,clamart
Appartement,"2,9","2,9","2,8",92023,clamart
Ensemble des résidences principales,"2,4","2,6","2,6",92024,clichy
Maison,"4,1","4,0","3,9",92024,clichy
Appartement,"2,5","2,6","2,6",92024,clichy
Ensemble des résidences principales,"3,3","3,3","3,3",92025,colombes
Maison,"4,5","4,7","4,8",92025,colombes
Appartement,"2,9","2,8","2,8",92025,colombes
Ensemble des résidences principales,"2,8","2,8","2,8",92026,courbevoie
Maison,"5,1","5,1","5,2",92026,courbevoie
Appartement,"2,8","2,8","2,7",92026,courbevoie
Ensemble des résidences principales,"3,3","3,3","3,3",92032,fontenay-aux-roses
Maison,"5,4","5,5","5,3",92032,fontenay-aux-roses
Appartement,"3,0","3,0","3,0",92032,fontenay-aux-roses
Ensemble des résidences principales,"3,0","3,0","3,0",92035,la-garenne-colombes
Maison,"5,1","5,2","5,2",92035,la-garenne-colombes
Appartement,"2,7","2,7","2,7",92035,la-garenne-colombes
Ensemble des résidences principales,"3,0","2,9","3,0",92036,gennevilliers
Maison,"4,2","4,2","4,3",92036,gennevilliers
Appartement,"2,9","2,8","2,9",92036,gennevilliers
Ensemble des résidences principales,"2,9","2,9","2,9",92040,issy-les-moulineaux
Maison,"4,7","4,9","5,0",92040,issy-les-moulineaux
Appartement,"2,8","2,8","2,7",92040,issy-les-moulineaux
Ensemble des résidences principales,"2,7","2,7","2,7",92044,levallois-perret
Maison,"4,7","4,8","5,1",92044,levallois-perret
Appartement,"2,7","2,7","2,7",92044,levallois-perret
Ensemble des résidences principales,"2,9","2,9","2,9",92046,malakoff
Maison,"4,4","4,4","4,5",92046,malakoff
Appartement,"2,7","2,6","2,7",92046,malakoff
Ensemble des résidences principales,"3,5","3,5","3,4",92048,meudon
Maison,"5,3","5,4","5,5",92048,meudon
Appartement,"3,2","3,2","3,1",92048,meudon
Ensemble des résidences principales,"2,7","2,7","2,7",92049,montrouge
Maison,"4,7","4,8","5,1",92049,montrouge
Appartement,"2,6","2,6","2,7",92049,montrouge
Ensemble des résidences principales,"3,2","3,1","3,1",92050,nanterre
Maison,"4,6","4,5","4,7",92050,nanterre
Appartement,"3,0","2,9","2,9",92050,nanterre
Ensemble des résidences principales,"3,3","3,2","3,2",92051,neuilly-sur-seine
Maison,"6,2","6,2","6,4",92051,neuilly-sur-seine
Appartement,"3,3","3,2","3,2",92051,neuilly-sur-seine
