Type de résidence principale,2010,2015,2021,code_insee,Ville
Ensemble des résidences principales,"3,2","3,2","3,2",92060,le-plessis-robinson
Maison,"4,7","4,8","5,1",92060,le-plessis-robinson
Appartement,"3,0","3,1","3,1",92060,le-plessis-robinson
Ensemble des résidences principales,"2,8","2,8","2,8",92062,puteaux
Maison,"4,4","4,8","4,6",92062,puteaux
Appartement,"2,8","2,8","2,8",92062,puteaux
Ensemble des résidences principales,"3,5","3,5","3,5",92063,rueil-malmaison
Maison,"5,3","5,3","5,4",92063,rueil-malmaison
Appartement,"2,9","3,0","2,9",92063,rueil-malmaison
Ensemble des résidences principales,"3,6","3,4","3,5",92064,saint-cloud
Maison,"5,8","5,8","5,8",92064,saint-cloud
Appartement,"3,2","3,1","3,2",92064,saint-cloud
Ensemble des résidences principales,"3,6","3,6","3,6",92071,sceaux
Maison,"5,8","5,7","5,8",92071,sceaux
Appartement,"3,1","3,1","3,1",92071,sceaux
Ensemble des résidences principales,"3,6","3,5","3,5",92072,sevres
Maison,"5,4","5,5","5,7",92072,sevres
Appartement,"3,1","3,0","2,9",92072,sevres
Ensemble des résidences principales,"3,1","3,1","3,1",92073,suresnes
Maison,"5,0","5,2","5,3",92073,suresnes
Appartement,"2,8","2,8","2,8",92073,suresnes
Ensemble des résidences principales,"2,9","2,9","2,9",92075,vanves
Maison,"5,0","5,2","5,1",92075,vanves
Appartement,"2,7","2,7","2,8",92075,vanves
Ensemble des résidences principales,"3,3","3,3","3,3",92078,villeneuve-la-garenne
Maison,"4,5","4,4","4,4",92078,villeneuve-la-garenne
Appartement,"3,2","3,2","3,2",92078,villeneuve-la-garenne
Ensemble des résidences principales,"2,8","2,8","2,6",93001,aubervilliers
Maison,"3,9","3,8","3,8",93001,aubervilliers
Appartement,"2,7","2,7","2,6",93001,aubervilliers
Ensemble des résidences principales,"3,7","3,6","3,5",93005,aulnay-sous-bois
Maison,"4,4","4,4","4,4",93005,aulnay-sous-bois
Appartement,"3,2","3,1","3,1",93005,aulnay-sous-bois
Ensemble des résidences principales,"2,9","2,9","3,0",93006,bagnolet
Maison,"4,0","3,9","4,1",93006,bagnolet
Appartement,"2,8","2,8","2,8",93006,bagnolet
Ensemble des résidences principales,"3,5","3,4","3,4",93007,le-blanc-mesnil
Maison,"4,2","4,2","4,3",93007,le-blanc-mesnil
Appartement,"3,0","2,9","3,0",93007,le-blanc-mesnil
Ensemble des résidences principales,"3,3","3,2","3,1",93008,bobigny
Maison,"4,0","4,0","4,1",93008,bobigny
Appartement,"3,1","3,0","3,0",93008,bobigny
Ensemble des résidences principales,"3,4","3,3","3,2",93010,bondy
Maison,"4,3","4,2","4,3",93010,bondy
Appartement,"3,0","2,9","2,9",93010,bondy
Ensemble des résidences principales,"3,5","3,5","3,5",93014,clichy-sous-bois
Maison,"4,3","4,4","4,4",93014,clichy-sous-bois
Appartement,"3,4","3,2","3,3",93014,clichy-sous-bois
Ensemble des résidences principales,"3,0","2,9","3,0",93027,la-courneuve
Maison,"4,0","3,8","4,0",93027,la-courneuve
Appartement,"2,9","2,8","2,9",93027,la-courneuve
Ensemble des résidences principales,"3,4","3,3","3,3",93029,drancy
Maison,"4,1","4,1","4,1",93029,drancy
Appartement,"2,8","2,7","2,8",93029,drancy
Ensemble des résidences principales,"3,2","3,2","3,2",93031,epinay-sur-seine
Maison,"4,1","4,1","4,4",93031,epinay-sur-seine
Appartement,"3,0","3,0","3,0",93031,epinay-sur-seine
Ensemble des résidences principales,"3,7","3,7","3,7",93032,gagny
Maison,"4,5","4,5","4,6",93032,gagny
Appartement,"3,0","2,9","2,9",93032,gagny
Ensemble des résidences principales,"2,8","2,9","2,9",93045,les-lilas
Maison,"4,3","4,4","4,3",93045,les-lilas
Appartement,"2,7","2,8","2,8",93045,les-lilas
Ensemble des résidences principales,"3,4","3,4","3,4",93046,livry-gargan
Maison,"4,3","4,4","4,4",93046,livry-gargan
Appartement,"2,7","2,7","2,7",93046,livry-gargan
Ensemble des résidences principales,"4,0","3,9","3,8",93047,montfermeil
Maison,"4,5","4,5","4,5",93047,montfermeil
Appartement,"3,1","2,9","2,9",93047,montfermeil
Ensemble des résidences principales,"3,0","2,9","2,9",93048,montreuil
Maison,"4,2","4,2","4,3",93048,montreuil
Appartement,"2,7","2,7","2,7",93048,montreuil
Ensemble des résidences principales,"3,5","3,5","3,4",93049,neuilly-plaisance
Maison,"4,6","4,7","4,7",93049,neuilly-plaisance
Appartement,"2,7","2,7","2,5",93049,neuilly-plaisance
Ensemble des résidences principales,"3,4","3,2","3,2",93050,neuilly-sur-marne
Maison,"4,4","4,3","4,4",93050,neuilly-sur-marne
Appartement,"3,1","3,0","3,0",93050,neuilly-sur-marne
Ensemble des résidences principales,"3,4","3,4","3,3",93051,noisy-le-grand
Maison,"4,6","4,6","4,7",93051,noisy-le-grand
Appartement,"2,9","2,9","2,9",93051,noisy-le-grand
Ensemble des résidences principales,"3,2","3,1","3,2",93053,noisy-le-sec
Maison,"4,3","4,3","4,5",93053,noisy-le-sec
Appartement,"2,8","2,8","2,9",93053,noisy-le-sec
Ensemble des résidences principales,"2,7","2,7","2,7",93055,pantin
Maison,"4,1","4,1","4,5",93055,pantin
Appartement,"2,7","2,7","2,7",93055,pantin
Ensemble des résidences principales,"3,3","3,3","3,2",93057,les-pavillons-sous-bois
Maison,"4,3","4,3","4,4",93057,les-pavillons-sous-bois
Appartement,"2,6","2,6","2,5",93057,les-pavillons-sous-bois
Ensemble des résidences principales,"3,4","3,3","3,3",93059,pierrefitte-sur-seine
Maison,"4,3","4,1","4,0",93059,pierrefitte-sur-seine
Appartement,"3,0","2,9","2,9",93059,pierrefitte-sur-seine
Ensemble des résidences principales,"3,2","3,2","3,1",93063,romainville
Maison,"4,2","4,1","4,3",93063,romainville
Appartement,"2,9","2,9","2,8",93063,romainville
Ensemble des résidences principales,"3,3","3,3","3,1",93064,rosny-sous-bois
Maison,"4,5","4,6","4,5",93064,rosny-sous-bois
Appartement,"3,0","3,0","2,9",93064,rosny-sous-bois
Ensemble des résidences principales,"2,8","2,8","2,8",93066,saint-denis
Maison,"4,0","4,0","4,2",93066,saint-denis
Appartement,"2,8","2,7","2,7",93066,saint-denis
Ensemble des résidences principales,"2,6","2,6","2,7",93070,saint-ouen-sur-seine
Maison,"4,0","4,2","4,2",93070,saint-ouen-sur-seine
Appartement,"2,5","2,6","2,7",93070,saint-ouen-sur-seine
Ensemble des résidences principales,"3,6","3,5","3,4",93071,sevran
Maison,"4,4","4,3","4,3",93071,sevran
Appartement,"3,1","3,1","3,1",93071,sevran
Ensemble des résidences principales,"3,2","3,2","3,1",93072,stains
Maison,"4,0","3,9","3,8",93072,stains
Appartement,"3,0","3,0","2,9",93072,stains
Ensemble des résidences principales,"3,8","3,9","3,8",93073,tremblay-en-france
Maison,"4,5","4,6","4,5",93073,tremblay-en-france
Appartement,"3,0","3,0","3,1",93073,tremblay-en-france
Ensemble des résidences principales,"3,5","3,5","3,5",93077,villemomble
Maison,"4,7","4,6","4,8",93077,villemomble
Appartement,"2,7","2,7","2,7",93077,villemomble
Ensemble des résidences principales,"3,9","3,8","3,6",93078,villepinte
Maison,"4,6","4,6","4,5",93078,villepinte
Appartement,"3,1","3,0","3,0",93078,villepinte
Ensemble des résidences principales,"2,8","2,8","2,8",94002,alfortville
Maison,"4,2","4,4","4,5",94002,alfortville
Appartement,"2,7","2,7","2,7",94002,alfortville
Ensemble des résidences principales,"3,0","3,0","2,9",94003,arcueil
Maison,"4,1","4,2","4,2",94003,arcueil
Appartement,"2,8","2,7","2,7",94003,arcueil
Ensemble des résidences principales,"3,3","3,1","3,1",94016,cachan
Maison,"4,6","4,7","4,8",94016,cachan
Appartement,"3,0","2,9","2,8",94016,cachan
Ensemble des résidences principales,"3,5","3,5","3,4",94017,champigny-sur-marne
Maison,"4,5","4,5","4,6",94017,champigny-sur-marne
Appartement,"3,1","3,1","3,0",94017,champigny-sur-marne
Ensemble des résidences principales,"2,9","2,9","2,9",94018,charenton-le-pont
Maison,"4,9","5,1","5,3",94018,charenton-le-pont
Appartement,"2,8","2,8","2,8",94018,charenton-le-pont
Ensemble des résidences principales,"3,3","3,2","3,3",94021,chevilly-larue
Maison,"4,7","4,5","4,8",94021,chevilly-larue
Appartement,"3,1","3,0","3,0",94021,chevilly-larue
Ensemble des résidences principales,"3,1","3,1","3,1",94022,choisy-le-roi
Maison,"4,5","4,4","4,5",94022,choisy-le-roi
Appartement,"2,8","2,9","2,8",94022,choisy-le-roi
Ensemble des résidences principales,"3,2","3,1","3,1",94028,creteil
Maison,"4,6","4,7","4,7",94028,creteil
Appartement,"3,1","3,0","3,0",94028,creteil
Ensemble des résidences principales,"3,3","3,3","3,4",94033,fontenay-sous-bois
Maison,"4,6","4,6","4,8",94033,fontenay-sous-bois
Appartement,"2,9","3,0","2,9",94033,fontenay-sous-bois
Ensemble des résidences principales,"3,5","3,4","3,3",94034,fresnes
Maison,"4,7","4,7","4,9",94034,fresnes
Appartement,"3,3","3,2","3,1",94034,fresnes
Ensemble des résidences principales,"3,6","3,5","3,5",94038,l-hay-les-roses
Maison,"4,8","4,8","4,8",94038,l-hay-les-roses
Appartement,"3,2","3,1","3,1",94038,l-hay-les-roses
Ensemble des résidences principales,"2,8","2,8","2,7",94041,ivry-sur-seine
Maison,"4,1","4,1","4,1",94041,ivry-sur-seine
Appartement,"2,7","2,7","2,7",94041,ivry-sur-seine
Ensemble des résidences principales,"3,1","3,2","3,2",94042,joinville-le-pont
Maison,"4,5","4,5","4,8",94042,joinville-le-pont
Appartement,"2,8","2,7","2,7",94042,joinville-le-pont
Ensemble des résidences principales,"2,8","2,8","2,8",94043,le-kremlin-bicetre
Maison,"4,1","4,2","4,0",94043,le-kremlin-bicetre
Appartement,"2,8","2,7","2,7",94043,le-kremlin-bicetre
Ensemble des résidences principales,"3,6","3,5","3,4",94044,limeil-brevannes
Maison,"4,8","4,8","4,8",94044,limeil-brevannes
Appartement,"3,0","2,9","2,9",94044,limeil-brevannes
Ensemble des résidences principales,"3,1","3,1","3,1",94046,maisons-alfort
Maison,"4,4","4,5","4,5",94046,maisons-alfort
Appartement,"2,9","2,9","2,9",94046,maisons-alfort
Ensemble des résidences principales,"3,1","3,1","3,1",94052,nogent-sur-marne
Maison,"5,1","5,2","5,2",94052,nogent-sur-marne
Appartement,"2,8","2,8","2,8",94052,nogent-sur-marne
Ensemble des résidences principales,"3,4","3,3","3,2",94054,orly
Maison,"4,3","4,3","4,3",94054,orly
Appartement,"3,1","3,1","3,0",94054,orly
Ensemble des résidences principales,"3,4","3,4","3,4",94058,le-perreux-sur-marne
Maison,"4,8","4,8","4,9",94058,le-perreux-sur-marne
Appartement,"2,7","2,7","2,7",94058,le-perreux-sur-marne
Ensemble des résidences principales,"3,7","3,7","3,7",94059,le-plessis-trevise
Maison,"5,2","5,2","5,2",94059,le-plessis-trevise
Appartement,"2,9","2,9","3,0",94059,le-plessis-trevise
Ensemble des résidences principales,"3,1","3,0","3,0",94067,saint-mande
Maison,"5,7","5,8","5,9",94067,saint-mande
Appartement,"3,0","2,9","2,9",94067,saint-mande
Ensemble des résidences principales,"3,5","3,5","3,5",94068,saint-maur-des-fosses
Maison,"5,0","5,0","5,1",94068,saint-maur-des-fosses
Appartement,"2,6","2,6","2,6",94068,saint-maur-des-fosses
Ensemble des résidences principales,"4,1","4,1","4,1",94071,sucy-en-brie
Maison,"5,0","5,1","5,0",94071,sucy-en-brie
Appartement,"3,2","3,1","3,1",94071,sucy-en-brie
Ensemble des résidences principales,"3,5","3,4","3,3",94073,thiais
Maison,"4,9","5,0","5,0",94073,thiais
Appartement,"3,0","3,0","3,0",94073,thiais
Ensemble des résidences principales,"3,1","3,1","3,0",94076,villejuif
Maison,"4,1","4,2","4,3",94076,villejuif
Appartement,"2,8","2,9","2,8",94076,villejuif
Ensemble des résidences principales,"3,6","3,6","3,7",94077,villeneuve-le-roi
Maison,"4,4","4,4","4,3",94077,villeneuve-le-roi
Appartement,"2,8","2,9","3,0",94077,villeneuve-le-roi
Ensemble des résidences principales,"3,3","3,2","3,2",94078,villeneuve-saint-georges
Maison,"4,3","4,4","4,5",94078,villeneuve-saint-georges
Appartement,"2,9","2,8","2,8",94078,villeneuve-saint-georges
Ensemble des résidences principales,"3,7","3,5","3,4",94079,villiers-sur-marne
Maison,"4,7","4,7","4,8",94079,villiers-sur-marne
Appartement,"3,0","2,9","2,7",94079,villiers-sur-marne
Ensemble des résidences principales,"2,8","2,7","2,7",94080,vincennes
Maison,"5,1","5,0","5,0",94080,vincennes
Appartement,"2,7","2,6","2,6",94080,vincennes
Ensemble des résidences principales,"3,3","3,3","3,3",94081,vitry-sur-seine
Maison,"4,2","4,3","4,4",94081,vitry-sur-seine
Appartement,"3,0","3,1","3,0",94081,vitry-sur-seine
Ensemble des résidences principales,"3,4","3,3","3,3",95018,argenteuil
Maison,"4,2","4,2","4,4",95018,argenteuil
Appartement,"2,9","2,9","2,9",95018,argenteuil
Ensemble des résidences principales,"3,4","3,3","3,3",95063,bezons
Maison,"4,2","4,2","4,2",95063,bezons
Appartement,"3,0","2,9","2,9",95063,bezons
Ensemble des résidences principales,"3,2","3,2","3,1",95127,cergy
Maison,"4,9","4,9","4,9",95127,cergy
Appartement,"2,8","2,8","2,8",95127,cergy
Ensemble des résidences principales,"4,0","3,9","3,8",95176,cormeilles-en-parisis
Maison,"4,8","4,9","4,9",95176,cormeilles-en-parisis
Appartement,"2,8","2,6","2,6",95176,cormeilles-en-parisis
Ensemble des résidences principales,"3,6","3,7","3,6",95197,deuil-la-barre
Maison,"4,8","4,8","4,8",95197,deuil-la-barre
Appartement,"3,0","3,0","2,8",95197,deuil-la-barre
Ensemble des résidences principales,"3,9","3,9","3,8",95203,eaubonne
Maison,"4,8","4,8","4,9",95203,eaubonne
Appartement,"3,3","3,3","3,1",95203,eaubonne
Ensemble des résidences principales,"3,7","3,6","3,6",95219,ermont
Maison,"4,8","4,8","4,9",95219,ermont
Appartement,"3,3","3,1","3,1",95219,ermont
Ensemble des résidences principales,"3,5","3,5","3,5",95252,franconville
Maison,"4,7","4,8","4,8",95252,franconville
Appartement,"3,1","3,1","3,1",95252,franconville
Ensemble des résidences principales,"3,4","3,4","3,3",95268,garges-les-gonesse
Maison,"4,4","4,4","4,4",95268,garges-les-gonesse
Appartement,"3,2","3,1","3,1",95268,garges-les-gonesse
Ensemble des résidences principales,"3,7","3,6","3,5",95277,gonesse
Maison,"4,7","4,7","4,6",95277,gonesse
Appartement,"3,1","3,0","2,9",95277,gonesse
Ensemble des résidences principales,"3,9","3,8","3,8",95280,goussainville
Maison,"4,4","4,4","4,5",95280,goussainville
Appartement,"3,1","3,0","3,0",95280,goussainville
Ensemble des résidences principales,"4,1","4,1","4,0",95306,herblay-sur-seine
Maison,"4,8","4,8","4,9",95306,herblay-sur-seine
Appartement,"2,9","2,9","2,8",95306,herblay-sur-seine
Ensemble des résidences principales,"3,8","3,9","3,8",95424,montigny-les-cormeilles
Maison,"4,6","4,7","4,6",95424,montigny-les-cormeilles
Appartement,"3,3","3,2","3,2",95424,montigny-les-cormeilles
Ensemble des résidences principales,"3,9","3,9","3,8",95428,montmorency
Maison,"5,3","5,4","5,3",95428,montmorency
Appartement,"3,1","3,1","3,1",95428,montmorency
Ensemble des résidences principales,"3,5","3,4","3,3",95500,pontoise
Maison,"5,1","4,9","5,0",95500,pontoise
Appartement,"3,0","2,9","2,9",95500,pontoise
Ensemble des résidences principales,"3,4","3,5","3,4",95555,saint-gratien
Maison,"4,8","4,9","5,0",95555,saint-gratien
Appartement,"3,2","3,1","3,1",95555,saint-gratien
Ensemble des résidences principales,"3,7","3,6","3,4",95572,saint-ouen-l-aumone
Maison,"4,7","4,7","4,6",95572,saint-ouen-l-aumone
Appartement,"3,1","3,0","2,9",95572,saint-ouen-l-aumone
Ensemble des résidences principales,"3,6","3,6","3,5",95582,sannois
Maison,"4,6","4,7","4,7",95582,sannois
Appartement,"3,1","3,1","3,0",95582,sannois
Ensemble des résidences principales,"3,7","3,7","3,6",95585,sarcelles
Maison,"4,6","4,8","4,7",95585,sarcelles
Appartement,"3,5","3,5","3,4",95585,sarcelles
Ensemble des résidences principales,"3,9","3,9","3,9",95607,taverny
Maison,"4,7","4,7","4,8",95607,taverny
Appartement,"3,2","3,2","3,2",95607,taverny
Ensemble des résidences principales,"3,5","3,5","3,4",95680,villiers-le-bel
Maison,"4,7","4,5","4,7",95680,villiers-le-bel
Appartement,"3,3","3,2","3,2",95680,villiers-le-bel
Ensemble des résidences principales,"3,6","3,7","3,6",97101,les-abymes
Maison,"3,9","4,0","3,9",97101,les-abymes
Appartement,"3,3","3,3","3,2",97101,les-abymes
Ensemble des résidences principales,"3,8","3,9","3,8",97103,baie-mahault
Maison,"4,1","4,2","4,1",97103,baie-mahault
Appartement,"3,2","3,2","3,2",97103,baie-mahault
Ensemble des résidences principales,"3,6","3,8","3,7",97113,le-gosier
Maison,"3,9","4,1","4,0",97113,le-gosier
Appartement,"2,8","2,9","2,8",97113,le-gosier
Ensemble des résidences principales,"3,8","3,8","3,7",97117,le-moule
Maison,"3,9","4,0","3,9",97117,le-moule
Appartement,"3,2","3,1","3,0",97117,le-moule
Ensemble des résidences principales,"3,9","3,9","3,9",97118,petit-bourg
Maison,"4,1","4,1","4,1",97118,petit-bourg
Appartement,"3,2","3,2","3,2",97118,petit-bourg
Ensemble des résidences principales,"3,8","3,8","3,8",97128,sainte-anne
Maison,"4,0","3,9","3,9",97128,sainte-anne
Appartement,"3,0","3,1","2,9",97128,sainte-anne
Ensemble des résidences principales,"3,4","3,5","3,5",97209,fort-de-france
Maison,"3,8","3,9","4,0",97209,fort-de-france
Appartement,"3,1","3,1","3,1",97209,fort-de-france
Ensemble des résidences principales,"3,6","3,5","3,5",97213,le-lamentin
Maison,"3,9","3,8","3,9",97213,le-lamentin
Appartement,"3,1","3,1","3,1",97213,le-lamentin
Ensemble des résidences principales,"3,6","3,6","3,6",97222,le-robert
Maison,"3,9","3,8","3,9",97222,le-robert
Appartement,"3,2","3,3","3,2",97222,le-robert
Ensemble des résidences principales,"3,3","3,2","2,9",97302,cayenne
Maison,"3,7","3,8","3,6",97302,cayenne
Appartement,"2,9","2,8","2,7",97302,cayenne
Ensemble des résidences principales,"3,5","3,5","3,6",97304,kourou
Maison,"4,0","4,0","4,1",97304,kourou
Appartement,"2,8","2,7","2,9",97304,kourou
Ensemble des résidences principales,"3,6","3,6","3,6",97307,matoury
Maison,"3,9","3,9","3,8",97307,matoury
Appartement,"2,8","3,0","2,9",97307,matoury
Ensemble des résidences principales,"3,8","3,6","3,5",97309,remire-montjoly
Maison,"4,1","4,0","4,1",97309,remire-montjoly
Appartement,"2,8","2,8","2,8",97309,remire-montjoly
Ensemble des résidences principales,"3,6","3,6","3,4",97311,saint-laurent-du-maroni
Maison,"3,8","3,8","3,6",97311,saint-laurent-du-maroni
Appartement,"3,0","3,0","3,1",97311,saint-laurent-du-maroni
Ensemble des résidences principales,"3,5","3,6","3,6",97407,le-port
Maison,"3,8","4,0","4,0",97407,le-port
Appartement,"3,1","3,2","3,2",97407,le-port
Ensemble des résidences principales,"3,9","3,9","3,9",97408,la-possession
Maison,"4,4","4,5","4,5",97408,la-possession
Appartement,"2,9","3,0","3,1",97408,la-possession
Ensemble des résidences principales,"3,9","4,0","4,1",97409,saint-andre
Maison,"4,2","4,4","4,4",97409,saint-andre
Appartement,"3,0","3,1","3,3",97409,saint-andre
Ensemble des résidences principales,"4,1","4,0","3,9",97410,saint-benoit
Maison,"4,4","4,4","4,3",97410,saint-benoit
Appartement,"3,1","3,0","2,9",97410,saint-benoit
Ensemble des résidences principales,"3,4","3,4","3,4",97411,saint-denis
Maison,"4,3","4,4","4,4",97411,saint-denis
Appartement,"2,8","2,8","2,8",97411,saint-denis
Ensemble des résidences principales,"4,2","4,2","4,1",97412,saint-joseph
Maison,"4,3","4,4","4,4",97412,saint-joseph
Appartement,"3,2","3,1","3,0",97412,saint-joseph
Ensemble des résidences principales,"3,9","4,0","4,0",97413,saint-leu
Maison,"4,0","4,2","4,2",97413,saint-leu
Appartement,"2,9","3,0","3,0",97413,saint-leu
Ensemble des résidences principales,"4,0","4,1","4,1",97414,saint-louis
Maison,"4,1","4,2","4,3",97414,saint-louis
Appartement,"3,3","3,4","3,4",97414,saint-louis
Ensemble des résidences principales,"3,8","3,9","3,9",97415,saint-paul
Maison,"4,1","4,2","4,2",97415,saint-paul
Appartement,"2,8","2,9","3,0",97415,saint-paul
Ensemble des résidences principales,"3,7","3,8","3,8",97416,saint-pierre
Maison,"4,1","4,2","4,3",97416,saint-pierre
Appartement,"2,9","2,9","3,0",97416,saint-pierre
Ensemble des résidences principales,"4,0","4,1","4,1",97418,sainte-marie
Maison,"4,3","4,5","4,5",97418,sainte-marie
Appartement,"2,9","3,0","3,1",97418,sainte-marie
Ensemble des résidences principales,"4,0","4,1","4,1",97420,sainte-suzanne
Maison,"4,3","4,4","4,4",97420,sainte-suzanne
Appartement,"3,1","3,2","3,3",97420,sainte-suzanne
Ensemble des résidences principales,"3,9","4,0","4,0",97422,le-tampon
Maison,"4,3","4,3","4,4",97422,le-tampon
Appartement,"2,5","2,7","2,7",97422,le-tampon
